marca,modelo,tipo,motor,descricao,preco,quilometragem,cambio,ano,portas,combustivel,troca,cor,vendido,data
Volkswagen,Polo Sedan,Sedan Compacto,1.6,1.6 ,29900.0,169888,Manual,2008,4,Bi-Combustível,Aceito Troca,Preto,Não,02/05/2023
Fiat,Uno,Hatch Compacto,1.0,1.0 8v Way 1.0 8V (Flex) 2p ,33900.0,131,Manual,2012,3,Bi-Combustível,Aceito Troca,Preto,Não,02/05/2023
Honda,City Sedan,Sedan Compacto,1.5,1.5 16v 1.5 LX 16V FLEX 4P MANUAL ,41900.0,133679,Manual,2011,4,Bi-Combustível,Aceito Troca,Cinza,Não,02/05/2023
Fiat,Argo,Hatch Médio,1.0,1.0 8v 1.0 FIREFLY FLEX DRIVE MANUAL ,58890.0,80102,Manual,2019,4,Bi-Combustível,Aceito Troca,Prata,Não,02/05/2023
Hyundai,HB20,Hatch Compacto,1.0,1.0 12v UNIQUE MANUAL ,56900.0,38868,Manual,2019,4,Bi-Combustível,Aceito Troca,Branco,Não,02/05/2023
Volkswagen,Fusca,Sedan Compacto,1.3,1.3 16v 1.3 2P ,35900.0,107549,Manual,1973,2,Gasolina,Aceito Troca,Azul,Não,02/05/2023
Toyota,Prius,Sedan Compacto,HYBRID,HYBRID 1.8 16V 5p Aut. ,105900.0,49500,Automático,2017,5,Hibrido (combustão + elétrico),Aceito Troca,Branco,Não,02/05/2023
Citroen,Xsara Picasso,Minivan Grande,1.6,1.6 16v GLX COMPLETO ,22900.0,124000,Manual,2009,4,Bi-Combustível,Aceito Troca,Prata,Não,02/05/2023
Renault,Kwid,Hatch Compacto,Zen,Zen 1.0 Flex 12V 5p Mec. ,46500.0,51905,Manual,2018,4,Bi-Combustível,Aceito Troca,Laranja,Não,02/05/2023
Ford,KA Hatch,Hatch Compacto,1.5,1.5 16v 1.5 SEL 16V FLEX 4P MANUAL ,45000.0,48000,Manual,2016,4,Bi-Combustível,Aceito Troca,Prata,Não,02/05/2023
Fiat,Doblo,Minivan Média,1.8,1.8 16v 1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL ,75900.0,88000,Manual,2018,4,Bi-Combustível,Aceito Troca,Prata,Não,02/05/2023
Volkswagen,Polo Hatch,Hatch Compacto,1.6,1.6 8v SPORTLINE ,34900.0,130600,Manual,2008,4,Bi-Combustível,Aceito Troca,Prata,Não,02/05/2023
Hyundai,HB20,Hatch Compacto,1.0,1.0 12v Diamond 1.0 TB Flex 12V Aut. ,82990.0,44839,Automático,2020,4,Bi-Combustível,Aceito Troca,Branco,Não,02/05/2023
Chevrolet,Onix Hatch,Hatch Médio,1.4,1.4 8v MPFI LTZ MANUAL ,61900.0,40835,Manual,2016,4,Bi-Combustível,Aceito Troca,Preto,Não,02/05/2023
Fiat,Strada Cab. Est.,Pick-up Compacta,1.8,1.8 16v adventure e tork locker CE ,46900.0,149000,Manual,2011,2,Bi-Combustível,Aceito Troca,Prata,Não,02/05/2023
Volkswagen,Up!,Hatch Compacto,1.0,1.0 12v 1.0 MPI 12V FLEX 4P AUTOMATIZADO ,49900.0,98028,Automático,2014,4,Bi-Combustível,Aceito Troca,Preto,Não,02/05/2023
Porsche,Macan,Esportivo|Cabrio,2.0,2.0 Turbo ,579000.0,0,Automático,2023,4,Gasolina,Aceito Troca,Cinza,Não,02/05/2023
Volkswagen,Nivus,SUV,Comfortline,Comfortline 1.0 200 TSI Flex Aut. ,113990.0,16111,Automático,2022,4,Bi-Combustível,Aceito Troca,Cinza,Não,02/05/2023
Volkswagen,Polo Hatch,Hatch Compacto,Polo,Polo Comfort. 200 TSI 1.0 Flex 12V Aut. ,77990.0,43457,Automático,2018,4,Bi-Combustível,Aceito Troca,Branco,Não,02/05/2023
Peugeot,208,Hatch Médio,1.6,1.6 16v ACTIVE PACK AUTOMÁTI ,43900.0,56634,Automático,2014,4,Bi-Combustível,Aceito Troca,Prata,Não,02/05/2023
Fiat,Palio,Hatch Compacto,1.0,1.0 8v 1.0 MPI FIRE WAY 8V FLEX 4P MANUAL ,34800.0,97000,Manual,2016,4,Bi-Combustível,Aceito Troca,Branco,Não,02/05/2023
Fiat,Argo,Hatch Médio,TREKKING,TREKKING 1.3 ,72900.0,60620,Manual,2020,4,Bi-Combustível,Aceito Troca,Branco,Não,02/05/2023
Volkswagen,Polo Hatch,Hatch Compacto,Polo,Polo Highline 200 TSI 1.0 Flex 12V Aut. ,92900.0,26600,Automático,2019,4,Bi-Combustível,Aceito Troca,Prata,Não,02/05/2023
Volkswagen,Gol,Hatch Compacto,1.6,1.6 8v 1.6 MI 8V FLEX 4P MANUAL G.V ,38900.0,125755,Manual,2011,4,Bi-Combustível,Aceito Troca,Preto,Não,02/05/2023
Chevrolet,Cruze Sedan,Sedan Médio,1.4,1.4 16v TURBO LT AUTOMÁTICO ,84900.0,93524,Automático,2018,4,Bi-Combustível,Aceito Troca,Prata,Não,02/05/2023
Hyundai,HB20,Hatch Compacto,Vision,Vision 1.0 Flex 12V Mec. ,61500.0,33054,Manual,2020,4,Bi-Combustível,Aceito Troca,Prata,Não,02/05/2023
Renault,Logan,Sedan Compacto,Zen,Zen Flex 1.0 12V 4p Mec. ,55900.0,41000,Manual,2020,4,Bi-Combustível,Aceito Troca,Cinza,Não,02/05/2023
Land Rover,Range Rover Evoque,SUV,2.0,2.0 P250 FLEX R-DYNAMIC SE AWD AUTOMÁTICO ,309900.0,18000,Não Informado,2020,4,Gasolina,Aceito Troca,Prata,Não,02/05/2023
Land Rover,Range Rover Evoque,SUV,2.0,2.0 P250 FLEX R-DYNAMIC SE AWD AUTOMÁTICO ,309900.0,18000,Não Informado,2020,4,Gasolina,Aceito Troca,Prata,Não,02/05/2023
Suzuki,Grand Vitara,CrossOver,Grand,Grand Vitara 2.0 16V 4x2/4x4 5p Aut. ,58900.0,129000,Automático,2010,4,Gasolina,Aceito Troca,Prata,Não,02/05/2023
Ford,EcoSport,CrossOver,1.6,1.6 8v 1.6 XLS FREESTYLE 8V FLEX 4P MANUAL ,29900.0,210684,Manual,2007,4,Gasolina,Aceito Troca,Preto,Não,02/05/2023
Hyundai,HB20 S,Sedan Compacto,1.6M,1.6M COMF ,67900.0,82832,Manual,2018,4,Bi-Combustível,Aceito Troca,Prata,Não,02/05/2023
Hyundai,HB20,Hatch Compacto,1.0,1.0 12v EVOLUTION ,74900.0,40078,Manual,2021,4,Bi-Combustível,Aceito Troca,Preto,Não,02/05/2023
Ford,Ranger CS,Pick-up Grande,3.2,3.2 XLT 4X4 CD 20V DIESEL 4P AUTOMÁTICO ,119990.0,140000,Não Informado,2015,4,Diesel,Aceito Troca,Branco,Não,02/05/2023
Fiat,Palio,Hatch Compacto,1.0,1.0 ECONOMY Fire Flex 8V 4p ,31900.0,113000,Manual,2013,4,Bi-Combustível,Não Aceita Troca,Cinza,Não,02/05/2023
Citroen,C4 Cactus,SUV,1.6,1.6 Live (Flex) (Aut) ,88490.0,21494,Automático,2021,4,Bi-Combustível,Aceito Troca,Prata,Não,02/05/2023
Toyota,RAV 4,SUV,2.4,2.4 16v 2.4 4X4 16V GASOLINA 4P AUTOMÁTICO ,51900.0,164000,Automático,2008,4,Gasolina,Aceito Troca,Preto,Não,02/05/2023
Ford,KA Hatch,Hatch Compacto,1.0,1.0 TI-VCT FLEX SE MANUAL ,49900.0,43300,Manual,2020,4,Gasolina,Aceito Troca,Branco,Não,02/05/2023
Honda,Civic,Sedan Médio,2.0,2.0 16v 2.0 LXR 16V FLEX 4P AUTOMÁTICO ,79900.0,105000,Automático,2014,4,Bi-Combustível,Aceito Troca,Preto,Não,02/05/2023
Fiat,Linea,Sedan Médio,ESSENCE,ESSENCE Dualogic 1.8 Flex 16V 4p ,33900.0,42736,Automatizado,2011,4,Bi-Combustível,Aceito Troca,Preto,Não,02/05/2023
Volkswagen,Gol,Hatch Compacto,1.6,1.6 8v 1.6 MSI TOTALFLEX 4P MANUAL ,61900.0,22000,Manual,2021,4,Bi-Combustível,Aceito Troca,Branco,Não,02/05/2023
Volkswagen,Voyage,Sedan Compacto,1.0,1.0 ,34900.0,195000,Manual,2011,4,Bi-Combustível,Aceito Troca,Prata,Não,02/05/2023
Peugeot,2008,SUV,Allure,Allure Pack 1.6 16V (Aut) (Flex) ,84810.0,29151,Automático,2021,4,Bi-Combustível,Aceito Troca,Prata,Não,01/05/2023
Volkswagen,Saveiro Cab. Simples,Pick-up Compacta,1.6,1.6 8v TRENDLINE FLEX 2P MANUAL ,89900.0,14638,Manual,2021,4,Bi-Combustível,Aceito Troca,Prata,Não,01/05/2023
Ford,Fiesta Sedan,Sedan Compacto,1.6,1.6 16v 1.6FLEX ,25900.0,114000,Manual,2009,4,Bi-Combustível,Aceito Troca,Preto,Não,01/05/2023
Volkswagen,Fox,Hatch Compacto,1.6,1.6 Connect 1.6 ,62990.0,61741,Manual,2019,4,Bi-Combustível,Aceito Troca,Branco,Não,01/05/2023
Volkswagen,Gol,Hatch Compacto,Trendline,Trendline 1.0 T.Flex 8V 5p ,38990.0,106000,Manual,2014,5,Bi-Combustível,Aceito Troca,Preto,Não,01/05/2023
Chevrolet,Celta,Hatch Compacto,Life/,Life/ LS 1.0 MPFI 8V FlexPower 5p ,24900.0,142000,Manual,2009,5,Bi-Combustível,Aceito Troca,Prata,Não,01/05/2023
Ford,KA Hatch,Hatch Compacto,1.0,1.0 12v SE 1.0 Flex ,50700.0,58832,Manual,2019,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Chevrolet,S 10. Cab Simples,Pick-up Grande,S10,S10 2.8 CTDi Cabine Simples LS 4WD ,133900.0,79208,Manual,2016,2,Diesel,Aceito Troca,Branco,Não,30/04/2023
Hyundai,Elantra,Sedan Médio,2.0,2.0 2.0 Special Edition (Aut) (Flex) ,78900.0,87300,Automático,2016,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Volkswagen,Voyage,Sedan Compacto,1.6,1.6 8v CL ,22900.0,111400,Manual,1995,2,Gasolina,Aceito Troca,Verde,Não,30/04/2023
Renault,Oroch,Pick-up Compacta,1.6,1.6 ,90900.0,42000,Manual,2021,4,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Ford,Ranger Cab. Dupla,Pick-up Grande,3.2,3.2 20v 3.2 LIMITED 4X4 CD 20V DIESEL 4P AUTOMÁTICO ,172900.0,108000,Automático,2017,4,Diesel,Aceito Troca,Cinza,Não,30/04/2023
Lexus,NX 300H,Hatch Superior,2.5,2.5 16v 2.5 16V VVT-I HYBRID LUXURY CVT AWD ,249900.0,36000,Automático,2020,4,Hibrido (combustão + elétrico),Aceito Troca,Cinza,Não,30/04/2023
Fiat,Toro,Pick-up Compacta,2.0,2.0 2.0 TDI Ranch Auto 4WD ,151900.0,43500,Automático,2019,4,Diesel,Aceito Troca,Vermelho,Não,30/04/2023
Chevrolet,Classic,Sedan Compacto,1.0,1.0 8v LS VHC-E (Flex) ,2990.0,128000,Manual,2012,4,Bi-Combustível,Aceito Troca,Verde,Não,30/04/2023
Jeep,Renegade,Jipe,Sport,Sport 1.8 4x2 Flex 16V Aut. ,91000.0,19000,Automático,2021,4,Bi-Combustível,Aceito Troca,Preto,Não,30/04/2023
Volkswagen,Gol,Hatch Compacto,CLi,CLi / CL/ Copa/ Stones 1.6 ,15900.0,96552,Manual,1990,2,Gasolina,Aceito Troca,Prata,Não,30/04/2023
Honda,Fit,Hatch Médio,1.5,1.5 16v 1.5 DX 16V FLEX 4P MANUAL ,79900.0,58678,Manual,2020,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Honda,Fit,Hatch Médio,LX,LX 1.5 Flexone 16V 5p Aut. ,65900.0,89619,Automático,2016,5,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Hyundai,HB20,Hatch Compacto,C./C.Plus/C.Style,C./C.Plus/C.Style 1.6 Flex 16V Mec. ,42900.0,102242,Manual,2013,5,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Jeep,Compass,SUV,2.0,2.0 16v LONGITUDE 2.0 4x2 Flex 16V Aut. ,120000.0,38000,Automático,2018,4,Bi-Combustível,Não Aceita Troca,Branco,Não,30/04/2023
Renault,Sandero,Hatch Compacto,1.6,1.6 16v Stepway 1.6 HI-FLEX ,35900.0,92000,Manual,2011,4,Bi-Combustível,Aceito Troca,Cinza,Não,30/04/2023
Fiat,Mobi,Hatch Compacto,1.0,1.0 8v 1.0 EVO FLEX LIKE. MANUAL ,49900.0,58450,Manual,2020,4,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Ford,KA Hatch,Hatch Compacto,1.0,1.0 8v 1.0 TI-VCT FLEX SE MANUAL ,54900.0,101350,Manual,2019,4,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Chevrolet,Onix Hatch,Hatch Médio,1.0,1.0 8v 1.0 MPFI LT 8V FLEX 4P MANUAL ,47900.0,189000,Manual,2017,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Volkswagen,Golf,Hatch Médio,1.4,1.4 1.4 TSi BlueMotion Technology Highline ,83500.0,73330,Automático,2014,4,Gasolina,Aceito Troca,Prata,Não,30/04/2023
Ford,Bronco,SUV,2.0,2.0 16v Sport Wildtrack ,215000.0,24000,Automático,2021,4,Gasolina,Aceito Troca,Cinza,Não,30/04/2023
Jeep,Renegade,Jipe,Trailhawk,Trailhawk 2.0 4x4 TB Diesel Aut ,157990.0,29200,Automático,2021,4,Diesel,Aceito Troca,Azul,Não,30/04/2023
Mercedes,Benz C 250,Sedan Superior,2.0,2.0 16v Avantgarde ,175900.0,28774,Automático,2017,4,Gasolina,Aceito Troca,Prata,Não,30/04/2023
Honda,CR-V,CrossOver,2.0,2.0 16v 2.0 EXL 4X4 16V GASOLINA 4P AUTOMÁTICO ,82900.0,90507,Automático,2012,4,Gasolina,Aceito Troca,Preto,Não,30/04/2023
Fiat,Toro,Pick-up Compacta,2.0,2.0 2.0 TDI Ranch Auto 4WD ,158000.0,41000,Automático,2021,4,Diesel,Aceito Troca,Cinza,Não,30/04/2023
Citroen,C3,Hatch Compacto,GLX,GLX 1.4/ GLX Sonora 1.4 Flex 8V 5p ,26900.0,130280,Manual,2012,5,Bi-Combustível,Aceito Troca,Preto,Não,30/04/2023
Toyota,Corolla,Sedan Médio,2.0,2.0 16v GR ,149900.0,7680,Automático,2021,5,Bi-Combustível,Aceito Troca,Preto,Não,30/04/2023
Renault,Sandero,Hatch Compacto,Expression,Expression Flex 1.0 12V 5p ,29900.0,90000,Manual,2017,5,Bi-Combustível,Não Aceita Troca,Branco,Não,30/04/2023
Fiat,Toro,Pick-up Compacta,Freedom,Freedom 1.8 16V Flex Aut. ,94900.0,76300,Automático,2017,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Chevrolet,Onix Hatch,Hatch Médio,1.0,1.0 8v JOY FLEX 4P MANUAL ,47900.0,125995,Manual,2016,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Ford,Fiesta Sedan,Sedan Compacto,SE,SE 1.6 16V Flex 4p ,28900.0,167000,Manual,2010,4,Bi-Combustível,Aceito Troca,Vermelho,Não,30/04/2023
Porsche,Panamera,Esportivo|Cabrio,4,4 Sport Turismo SW Híbrido ,799990.0,24500,Automático,2018,4,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Ferrari,488,Esportivo|Cabrio,Spider,Spider 3.9 V8 670cv ,3699990.0,6375,Automático,2018,2,Gasolina,Aceito Troca,Azul,Não,30/04/2023
Peugeot,2008,SUV,Allure,Allure Pack 1.6 16V (Aut) (Flex) ,83150.0,41970,Automático,2021,4,Bi-Combustível,Aceito Troca,Cinza,Não,30/04/2023
Toyota,Corolla,Sedan Médio,XEi,XEi 1.8/1.8 Flex 16V Aut. ,47500.0,174000,Automático,2008,4,Bi-Combustível,Aceito Troca,Cinza,Não,30/04/2023
Jeep,Compass,SUV,1.3,1.3 T270 Longitude Serie 80 Anos ,159990.0,24000,Automático,2021,4,Bi-Combustível,Aceito Troca,Cinza,Não,30/04/2023
Hyundai,HB20 S,Sedan Compacto,1.6,1.6 16v S Style 1.6 Flex 16V Aut. ,77900.0,68400,Automático,2018,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Volkswagen,Fox,Hatch Compacto,1.6,1.6 Mi Total Flex 8V 5p ,41900.0,85074,Manual,2012,5,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Porsche,Cayenne,SUV,Turbo,Turbo 4.0 V8 ,1889990.0,600,Automático,2022,4,Gasolina,Aceito Troca,Azul,Não,30/04/2023
Chevrolet,Montana,Pick-up Compacta,1.4,1.4 8v 1.4 MPFI LS CS 8V FLEX 2P MANUAL ,48900.0,137122,Manual,2016,2,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Nissan,Sentra,Sedan Médio,SV,SV 2.0 FlexStart 16V Aut. ,59900.0,93847,Automático,2015,4,Bi-Combustível,Aceito Troca,Preto,Não,30/04/2023
Renault,Kwid,Hatch Compacto,1.0,1.0 12v SCE ZEN MANUAL ,61900.0,117,Manual,2022,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Toyota,Etios Hatch,Hatch Compacto,1.5,1.5 XS (Flex) ,59900.0,82500,Manual,2017,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Ford,KA Hatch,Hatch Compacto,1.0,1.0 SE ,47900.0,79489,Manual,2017,4,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Ford,KA Sedan,Sedan Compacto,+,+ SE 1.5 SD B ,55900.0,52551,Manual,2019,4,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Volkswagen,Gol,Hatch Compacto,MB5,MB5 _4P_ ,53900.0,65467,Manual,2019,4,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Jeep,Renegade,Jipe,Sport,Sport 1.8 4x2 Flex 16V Mec. ,74900.0,59000,Manual,2017,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Ford,KA Hatch,Hatch Compacto,Ka,Ka 1.0 SE/SE Plus TiVCT Flex 5p ,46500.0,70000,Manual,2017,4,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
BMW,X2,Perua Superior,2.0,2.0 8v 2.0 TWINPOWER GASOLINA M35I XDRIVE STEPTRONIC ,321800.0,39000,Automático,2019,4,Gasolina,Aceito Troca,Branco,Não,30/04/2023
Volkswagen,Amarok,Pick-up Grande,3.0,3.0 EXTREME ,280000.0,36000,Automático,2021,4,Diesel,Não Aceita Troca,Branco,Não,30/04/2023
Peugeot,208,Hatch Médio,Allure,Allure 1.6 Flex 16V 5p Aut. ,77890.0,30600,Automático,2021,5,Bi-Combustível,Aceito Troca,Preto,Não,30/04/2023
Fiat,Toro,Pick-up Compacta,2.0,2.0 2.0 ,134800.0,37000,Automático,2020,4,Diesel,Aceito Troca,Cinza,Não,30/04/2023
Chevrolet,Montana,Pick-up Compacta,1.4,1.4 8v 1.4 MPFI LS CS 8V FLEX 2P MANUAL ,59970.0,67000,Manual,2019,2,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Porsche,911,Esportivo|Cabrio,3.0,3.0 24v 3.0 24V H6 GASOLINA CARRERA PDK ,685000.0,21000,Automático,2016,2,Gasolina,Aceito Troca,Branco,Não,30/04/2023
Fiat,Strada Cab. Simples,Pick-up Compacta,Strada,Strada Working HARD 1.4 Fire Flex 8V CS ,59900.0,96742,Manual,2019,2,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Toyota,Corolla,Sedan Médio,GLI,GLI UPPER ,97900.0,52234,Automático,2018,4,Bi-Combustível,Aceito Troca,Preto,Não,30/04/2023
Renault,Kwid,Hatch Compacto,1.0,1.0 12v 1.0 12V SCE FLEX ZEN MANUAL ,44900.0,50863,Manual,2017,4,Bi-Combustível,Aceito Troca,Preto,Não,30/04/2023
Fiat,Strada Cab. Simples,Pick-up Compacta,Strada,Strada Working 1.4 mpi Fire Flex 8V CS ,64900.0,54519,Manual,2020,2,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Ford,KA Hatch,Hatch Compacto,1.0,1.0 SE ,41900.0,88000,Manual,2018,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Ford,KA Sedan,Sedan Compacto,Ka,Ka 1.0 SE/SE Plus TiVCT Flex 5p ,50990.0,43008,Manual,2019,4,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Renault,Sandero,Hatch Compacto,Authentique,Authentique Flex 1.0 12V 5p ,41900.0,142780,Manual,2018,5,Bi-Combustível + Kit Gás,Aceito Troca,Prata,Não,30/04/2023
Chevrolet,S 10 Cab. Dupla,Pick-up Grande,2.8,2.8 16v ,163900.0,115000,Automático,2016,4,Diesel,Aceito Troca,Branco,Não,30/04/2023
Ford,KA Sedan,Sedan Compacto,Ka+,Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p ,51990.0,99588,Manual,2019,4,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Chevrolet,Onix Hatch,Hatch Médio,1.0,1.0 8v 1.0 FLEX LT MANUAL ,63900.0,79880,Manual,2020,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Volkswagen,Saveiro Cab Dupla,CrossOver Light,Saveiro,Saveiro Robust 1.6 Total Flex 8V CD ,98000.0,0,Manual,2022,2,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Volkswagen,Saveiro Cab. Simples,Pick-up Compacta,1.6,1.6 ROBUST ,61900.0,62000,Manual,2019,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Volkswagen,Nivus,SUV,1.0,1.0 200 TSI TOTAL HIGHLI ,120900.0,49618,Automático,2022,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Volkswagen,Gol,Hatch Compacto,1.6,1.6 MSI Flex 8V 5p ,52900.0,56135,Manual,2019,5,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Fiat,Strada Cab. Simples,Pick-up Compacta,1.3,1.3 Frrleedon 1.3 ,88500.0,50000,Manual,2020,2,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Renault,Sandero,Hatch Compacto,STEPWAY,STEPWAY ZEN 1.6 2021 ,64900.0,67366,Manual,2020,4,Bi-Combustível,Aceito Troca,Cinza,Não,30/04/2023
Mitsubishi,Pajero TR4,Jipe,2.0,2.0 Flex 16V 4X2 Aut. ,53900.0,121000,Automático,2012,4,Bi-Combustível,Aceito Troca,Preto,Não,30/04/2023
Chery,Tiggo 2,SUV,Tiggo,Tiggo 2 Look 1.5 16V Flex Mec. 5p ,73990.0,27034,Manual,2020,4,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Fiat,Cronos,Sedan Compacto,PRECISION,PRECISION 1.8 16V Flex Aut. ,71000.0,63000,Automático,2019,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Ford,KA Sedan,Sedan Compacto,Ka+,Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p ,55900.0,50000,Manual,2019,4,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Honda,Civic,Sedan Médio,2.0,2.0 EXL ,124800.0,53300,Automático,2020,4,Bi-Combustível,Aceito Troca,Preto,Não,30/04/2023
Honda,CR-V,CrossOver,2.0,2.0 EXL 4X4 16V GASOLINA 4P AUTOMÁTICO ,83990.0,160000,Não Informado,2012,4,Gasolina,Aceito Troca,Preto,Não,30/04/2023
Volkswagen,T-Cross,SUV,1.0,1.0 8v 1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO ,106900.0,69000,Automático,2019,4,Bi-Combustível,Aceito Troca,Azul,Não,30/04/2023
Fiat,Palio Weekend,Perua Compacta,W.ADV.,W.ADV. LOCK. ITALIA 1.8 Flex 16V ,30990.0,133000,Manual,2011,4,Bi-Combustível,Aceito Troca,Verde,Não,30/04/2023
Fiat,Strada Cab. Simples,Pick-up Compacta,1.4,1.4 Freedom ,68900.0,56323,Manual,2020,2,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Honda,HR-V,SUV,EX,EX 1.8 Flexone 16V 5p Aut. ,85990.0,105500,Automático,2015,5,Bi-Combustível,Aceito Troca,Cinza,Não,30/04/2023
Fiat,Siena,Sedan Compacto,EL,EL Celeb. 1.0 mpi Fire Flex 8V 4p ,25990.0,140000,Manual,2010,4,Bi-Combustível,Aceito Troca,Prata,Não,30/04/2023
Volkswagen,Jetta,Sedan Médio,Highline,Highline 2.0 TSI 16V 4p Tiptronic ,94900.0,70000,Automático,2016,4,Gasolina,Aceito Troca,Branco,Não,30/04/2023
Ford,KA Hatch,Hatch Compacto,1.0,1.0 12v SE ,46900.0,59678,Manual,2018,4,Bi-Combustível,Aceito Troca,Branco,Não,30/04/2023
Honda,Fit,Hatch Médio,LX,LX 1.5 Flexone 16V 5p Aut. ,67990.0,76000,Automático,2015,5,Bi-Combustível,Aceito Troca,Cinza,Não,30/04/2023
Hyundai,Tucson,CrossOver,2.0,2.0 16v GLS 2.0L 16v Top (Flex) (Aut) ,73900.0,53000,Automático,2017,4,Bi-Combustível,Aceito Troca,Preto,Não,30/04/2023
Ford,Fiesta Sedan,Sedan Compacto,SE,SE 1.6 8V Flex 4p ,33900.0,113000,Manual,2014,4,Bi-Combustível,Aceito Troca,Branco,Não,01/05/2023
Chevrolet,Onix Sedan,Sedan Compacto,1.0,1.0 1.0 Turbo Flex Plus Premier Automático ,93000.0,49000,Automático,2020,4,Bi-Combustível,Não Aceita Troca,Prata,Não,01/05/2023
Ford,Focus Sedan,Sedan Médio,FIESTA,FIESTA 1.6FLEX ,35990.0,87000,Manual,2012,4,Bi-Combustível,Aceito Troca,Prata,Não,01/05/2023
Kia,Soul,Minivan Média,1.6/,1.6/ 1.6 16V FLEX Mec. ,38990.0,129696,Manual,2010,5,Gasolina,Não Aceita Troca,Preto,Não,01/05/2023
Volkswagen,Gol,Hatch Compacto,1.0,1.0 8v 1.0 MI 8V FLEX 4P MANUAL G.VI ,35900.0,145995,Manual,2013,4,Bi-Combustível,Aceito Troca,Branco,Não,01/05/2023
Fiat,Strada Cab. Est.,Pick-up Compacta,Strada,Strada Trekking 1.4 mpi Fire Flex 8V CE ,41990.0,140000,Manual,2012,2,Bi-Combustível,Aceito Troca,Vermelho,Não,01/05/2023
Ford,KA Sedan,Sedan Compacto,SE,SE 1.5 12V ,55990.0,42000,Manual,2019,4,Bi-Combustível,Aceito Troca,Prata,Não,01/05/2023
Chery,Tiggo 8,SUV,1.6,1.6 1.6 TURBO GDI ,163990.0,18500,Automático,2021,5,Gasolina,Aceito Troca,Preto,Não,01/05/2023
Renault,Kwid,Hatch Compacto,Zen,Zen 1.0 12v SCe (Flex) ,55940.0,43421,Manual,2021,4,Bi-Combustível,Aceito Troca,Branco,Não,01/05/2023
Fiat,Argo,Hatch Médio,1.0,1.0 6V Flex. ,58900.0,31000,Manual,2020,4,Bi-Combustível,Aceito Troca,Vermelho,Não,01/05/2023
Fiat,Argo,Hatch Médio,1.0,1.0 6v Drive 1.0 Firefly (Flex) ,55900.0,65000,Manual,2018,4,Bi-Combustível,Aceito Troca,Vermelho,Não,01/05/2023
Ford,Focus Sedan,Sedan Médio,2.0,2.0 16v SE Plus 2.0 Flex Aut. ,54900.0,139038,Automático,2015,4,Bi-Combustível,Aceito Troca,Cinza,Não,01/05/2023
Fiat,Siena Grand,Sedan Compacto,1.6,1.6 16v ESSENCE DUALOGIC ,40000.0,118000,Automatizado,2014,5,Bi-Combustível,Aceito Troca,Prata,Não,01/05/2023
